frame,detections
296,0:0.87:1191.9:481.2:183.0:450.4;0:0.53:1709.7:725.7:217.1:276.4
297,0:0.87:1706.1:719.6:224.5:289.8;0:0.86:1197.2:481.5:182.6:455.4
298,0:0.88:1210.2:480.5:188.5:458.1;0:0.80:1700.3:712.4:224.8:306.7
299,0:0.89:1218.6:478.2:202.3:460.5;0:0.84:1691.9:703.6:220.0:324.0
300,0:0.88:1234.2:484.6:221.0:463.2;0:0.86:1681.9:697.2:200.5:336.1
301,0:0.89:1241.5:482.9:226.2:443.5;0:0.80:1681.9:678.2:202.4:379.0
302,0:0.89:1248.9:488.2:232.9:442.6;0:0.76:1680.9:670.9:196.9:391.4
303,0:0.85:1253.3:490.5:235.9:443.5;0:0.84:1681.2:672.0:191.9:388.7
304,0:0.89:1268.6:483.0:250.4:424.2;0:0.85:1675.0:691.3:190.6:351.0
305,0:0.88:1266.8:485.8:246.7:436.3;0:0.78:1663.3:671.5:216.7:389.9
306,0:0.91:1283.5:486.8:255.6:430.9;0:0.70:1653.4:667.5:232.8:393.4;0:0.25:1229.4:348.2:83.7:141.1
307,0:0.87:1295.7:485.8:268.5:433.3;0:0.75:1631.9:637.0:265.4:451.8
308,0:0.84:1607.1:637.0:310.3:456.2;0:0.81:1288.9:483.9:286.3:431.5
309,0:0.87:1589.5:638.9:345.1:454.8;0:0.86:1329.6:482.7:244.9:438.0
310,0:0.88:1580.1:632.5:366.8:467.1;0:0.83:1345.3:476.9:230.2:427.2
311,0:0.90:1572.7:629.2:379.8:474.5;0:0.85:1354.3:478.1:219.8:435.0
312,0:0.89:1565.0:629.2:373.6:473.5;0:0.72:1372.1:474.7:207.9:436.4
313,0:0.89:1560.5:629.8:370.7:472.2;0:0.25:1425.6:316.2:142.6:121.1
314,0:0.90:1546.1:627.2:372.7:476.1;0:0.81:1409.5:474.3:220.5:436.0
315,0:0.89:1534.0:626.7:341.3:478.0;0:0.75:1413.7:481.3:223.0:438.1
316,0:0.69:1526.4:622.2:324.5:479.5;0:0.66:1425.4:484.9:224.6:441.7;0:0.52:1581.2:616.6:210.0:472.2
317,0:0.67:1519.7:621.3:303.3:479.9
318,0:0.56:1516.0:623.5:292.0:477.5;0:0.27:1471.6:631.1:208.1:467.4
319,0:0.56:1511.6:609.2:283.5:504.7;0:0.50:1438.3:492.2:268.6:408.5;0:0.44:1528.7:553.9:247.5:379.6
320,0:0.78:1449.4:621.4:276.2:490.8
321,0:0.84:1457.0:622.3:284.4:501.0
322,0:0.90:1456.0:618.0:281.2:502.3
323,0:0.89:1433.3:623.7:283.1:509.5
324,0:0.87:1408.9:623.5:304.8:491.0
325,0:0.90:1380.4:626.4:323.1:479.4;0:0.39:1583.5:509.5:172.3:452.2
326,0:0.85:1345.8:622.5:268.8:477.8;0:0.71:1576.4:507.1:192.5:443.4
327,0:0.88:1330.5:623.5:286.1:471.2;0:0.84:1590.7:509.5:188.1:454.4
328,0:0.91:1328.8:620.8:295.0:460.6;0:0.85:1593.2:511.7:204.1:443.4
329,0:0.90:1321.3:621.5:291.4:460.3;0:0.80:1587.4:510.9:216.7:437.3
330,0:0.89:1311.0:623.8:279.6:464.7;0:0.81:1587.9:512.5:213.5:446.4
331,0:0.87:1300.3:622.8:258.7:466.8;0:0.74:1581.4:525.7:210.5:419.6
332,0:0.87:1287.1:615.5:235.4:477.1;0:0.82:1601.3:516.0:263.7:435.6
333,0:0.86:1272.8:617.5:219.5:470.7;0:0.83:1620.6:526.2:249.3:425.2
334,0:0.87:1263.4:615.6:201.8:473.5;0:0.87:1636.4:527.0:246.9:424.5
335,0:0.87:1254.6:615.0:188.1:479.6;0:0.35:1638.5:534.5:253.6:414.5;0:0.27:1636.1:620.1:242.4:238.7
336,0:0.66:1632.3:542.0:229.6:402.8;0:0.60:1242.5:613.2:163.0:480.2
337,0:0.86:1629.5:542.1:223.3:404.7;0:0.84:1226.6:613.7:165.9:488.7
338,0:0.80:1626.9:539.5:218.9:392.2;0:0.79:1195.7:614.6:181.0:488.3
339,0:0.84:1174.2:612.3:203.6:483.7;0:0.83:1635.5:542.0:239.7:390.0
340,0:0.83:1144.3:613.9:234.4:481.3;0:0.56:1640.8:540.3:230.1:379.7
341,0:0.87:1123.2:614.0:253.3:484.9;0:0.49:1643.2:550.3:222.9:364.1;0:0.29:1644.7:637.5:223.4:186.0
342,0:0.89:1109.6:618.2:274.1:476.3;0:0.59:1646.0:571.7:229.0:329.0
343,0:0.88:1100.8:619.3:280.6:471.9;0:0.39:1656.6:572.3:205.9:319.0;0:0.34:1658.3:643.5:205.6:176.5
344,0:0.89:1089.5:614.5:281.0:482.1;0:0.36:1667.7:647.1:191.8:194.1
345,0:0.90:1079.4:612.3:278.3:478.2;0:0.36:1670.8:646.3:199.2:212.7
346,0:0.88:1067.4:604.0:273.8:483.6;0:0.25:1688.9:649.5:172.4:195.3
347,0:0.88:1053.1:601.6:259.6:474.6
348,0:0.84:1034.3:596.9:228.4:458.5;0:0.28:1713.3:649.7:145.5:180.5
349,0:0.85:1021.1:587.7:194.8:449.0
350,0:0.87:1009.9:579.5:163.7:463.6
351,0:0.85:998.8:578.9:149.3:459.9
352,0:0.84:981.3:577.6:136.1:459.4
353,0:0.82:958.1:579.8:130.8:470.8
354,0:0.84:938.0:579.4:157.8:469.7
355,0:0.86:912.0:579.6:196.9:468.8
356,0:0.87:897.0:582.0:243.9:468.6
357,0:0.90:883.2:580.8:269.4:454.7
358,0:0.91:868.2:577.0:292.8:446.1
359,0:0.91:858.1:578.9:297.6:438.0
360,0:0.90:856.9:578.6:284.9:438.9
361,0:0.86:840.5:577.7:297.4:442.0
362,0:0.89:821.4:578.8:299.6:442.7
363,0:0.88:808.3:582.1:277.4:446.4
364,0:0.88:799.2:578.0:247.0:448.3
365,0:0.86:789.7:577.2:205.0:451.1
366,0:0.90:773.1:572.4:185.8:466.4
367,0:0.81:744.1:570.3:153.1:462.9
368,0:0.83:725.4:572.3:144.0:467.2
369,0:0.88:713.7:568.3:155.4:472.7
370,0:0.88:693.1:572.2:198.6:467.0
371,0:0.89:678.3:572.0:229.9:467.2
372,0:0.89:675.4:573.1:247.2:463.9
373,0:0.89:635.8:573.1:320.7:465.3
374,0:0.89:622.7:573.4:341.5:465.3
375,0:0.90:614.4:575.6:350.2:456.6
376,0:0.90:610.3:574.3:347.8:460.0
377,0:0.90:613.0:573.5:330.3:462.2
378,0:0.91:606.3:573.1:320.3:464.4
379,0:0.91:583.8:572.0:317.0:462.1
380,0:0.88:558.7:567.8:305.7:458.6
381,0:0.89:537.6:563.9:283.2:462.5
382,0:0.83:522.6:562.6:252.4:467.7
383,0:0.86:507.0:566.8:228.4:484.7
384,0:0.84:471.7:567.2:217.6:485.9
